spec;n;d_max;dam_max;k1;k2;k3;k4;k5;k6;k7;b;p;em;ef;edif
reg lnd c.dam#c.female dam female   if d<9999999 & dam<9999999, robust;94;9999999;9999999;1;1;1;1;1;1;1;.000021843056;.19109818;1.9841383;2.2200828;1.3188454
reg lnd c.dam#c.female dam female c.year##c.dam if d<9999999 & dam<9999999, robu;94;9999999;9999999;1;1;1;1;1;1;2;.000020927957;.19852951;1.9721261;2.2353117;1.7903494
reg lnd c.dam#c.female dam female c.post79##c.dam if d<9999999 & dam<9999999, ro;94;9999999;9999999;1;1;1;1;1;1;3;.000016710361;.24318396;1.9953778;2.2250795;1.7798295
reg lnd c.dam#c.female dam female c.zmin#c.female zmin   if d<9999999 & dam<9999;94;9999999;9999999;1;1;1;1;1;2;1;.000028508626;.16971341;1.9974879;2.2114387;1.7155429
reg lnd c.dam#c.female dam female c.zmin#c.female zmin c.year##c.dam if d<999999;94;9999999;9999999;1;1;1;1;1;2;2;.000028215758;.1672986;1.9895346;2.2171154;1.8793106
reg lnd c.dam#c.female dam female c.zmin#c.female zmin c.post79##c.dam if d<9999;94;9999999;9999999;1;1;1;1;1;2;3;.000026669077;.14577515;2.0065689;2.2109013;1.8652974
reg lnd c.dam#c.female dam female c.zwin#c.female zwin   if d<9999999 & dam<9999;94;9999999;9999999;1;1;1;1;1;3;1;.000019328148;.42965311;1.9916917;2.2032058;1.6318684
reg lnd c.dam#c.female dam female c.zwin#c.female zwin c.year##c.dam if d<999999;94;9999999;9999999;1;1;1;1;1;3;2;.000020370893;.38019845;1.9198273;2.2296009;1.9893975
reg lnd c.dam#c.female dam female c.zwin#c.female zwin c.post79##c.dam if d<9999;94;9999999;9999999;1;1;1;1;1;3;3;.000020587442;.37471989;1.9456902;2.2246735;2.059494
reg lnd c.dam#c.female dam female c.zcat#c.female zcat   if d<9999999 & dam<9999;94;9999999;9999999;1;1;1;1;1;4;1;.000012064242;.62445527;1.9863505;2.199789;1.8985955
reg lnd c.dam#c.female dam female c.zcat#c.female zcat c.year##c.dam if d<999999;94;9999999;9999999;1;1;1;1;1;4;2;.000012513051;.59741861;1.9296761;2.2236128;2.4327128
reg lnd c.dam#c.female dam female c.zcat#c.female zcat c.post79##c.dam if d<9999;94;9999999;9999999;1;1;1;1;1;4;3;.000011482983;.62020314;1.9590497;2.2151546;2.3469801
reg lnd c.dam#c.female dam female c.z3#c.female z3   if d<9999999 & dam<9999999,;94;9999999;9999999;1;1;1;1;1;5;1;.000022151962;.35375667;1.99931;2.2027211;1.7449493
reg lnd c.dam#c.female dam female c.z3#c.female z3 c.year##c.dam if d<9999999 & ;94;9999999;9999999;1;1;1;1;1;5;2;.000021899539;.342484;1.9454;2.2243807;2.1417022
reg lnd c.dam#c.female dam female c.z3#c.female z3 c.post79##c.dam if d<9999999 ;94;9999999;9999999;1;1;1;1;1;5;3;.000022080691;.32010856;1.9699121;2.2177882;2.1268997
reg lnd female dam z3   if d<9999999 & dam<9999999, robust;94;9999999;9999999;1;1;1;1;1;6;1;.18944933;.44898671;2.0201297;2.209579;2.1810403
